"WorkspaceId","UserName","Region","Status"
"ws-8wttg6jkj","aalvarez1","us-east-1","Enabled"
"ws-crj8bj1hl","AMeteyer","us-east-1","Enabled"
"ws-hq0xln8td","krowe3","us-east-1","Enabled"
"ws-8b8y6cfbr","edimarco","us-east-1","Enabled"
"ws-cpw9lbpjh","kmoore27","us-east-1","Enabled"
"ws-1ddtq62x0","jstewartga","us-east-1","Enabled"
"ws-7m73ck7vg","zjohnson5","us-east-1","Enabled"
"ws-9c9plyb81","nminhas","us-east-1","Enabled"
"ws-c353fwk5w","vhodges","us-east-1","Enabled"
"ws-058fkdnbp","vprice","us-east-1","Enabled"
"ws-3hsbdm6h5","brenn","us-east-1","Enabled"
"ws-2fn84lgh8","swoodall","us-east-1","Enabled"
"ws-5jy9y4w10","ncurry","us-east-1","Enabled"
"ws-69p4r9cz0","jbermudez3","us-east-1","Enabled"
"ws-fjyy9m7wr","kmestry","us-east-1","Disabled"
"ws-6nv5hb3vn","mheavlow","us-east-1","Enabled"
"ws-1mc7hdxyq","asolis2","us-east-1","Enabled"
"ws-d822t3fx9","ballen9","us-east-1","Enabled"
"ws-4xxtfl80j","dkupper","us-east-1","Enabled"
"ws-1911s1g7c","agardewine","us-east-1","Enabled"
"ws-97s5tmh41","snelson3","us-east-1","Enabled"
"ws-jfvq55bx2","bbrettnacher","us-east-1","Enabled"
"ws-gdy0xx1pg","evales","us-east-1","Enabled"
"ws-cpfrksrdc","ATejada","us-east-1","Enabled"
"ws-vfpcr3w1k","abalbuena","us-east-1","Enabled"
"ws-d6lm2y6vp","sfleischma","us-east-1","Enabled"
"ws-fbyqc9txd","iribot","us-east-1","Enabled"
"ws-2y54ww03s","jroberson4","us-east-1","Enabled"
"ws-wsv01bh2s","ssinha","us-east-1","Enabled"
"ws-0jxbbnyll","kschafrane","us-east-1","Enabled"
"ws-8k8k4n71r","bjones54","us-east-1","Enabled"
"ws-dg49wn4cz","jlopez33","us-east-1","Enabled"
"ws-9dzvfpdzp","lmick","us-east-1","Enabled"
"ws-4d7dy921b","dsthillair","us-east-1","Enabled"
"ws-126xtc0p5","lsullender","us-east-1","Enabled"
"ws-8zbvxwdtn","jkearney","us-east-1","Enabled"
"ws-3bvrwv8yp","spierce6","us-east-1","Enabled"
"ws-2qmvjxdrt","ksilva2","us-east-1","Enabled"
"ws-wvgnkyb2b","kkimbler","us-east-1","Enabled"
"ws-j1z0rbkwh","khamilton4","us-east-1","Enabled"
"ws-8lcmys27m","gmartinez1","us-east-1","Enabled"
"ws-28939jhtw","cgalvan1","us-east-1","Enabled"
"ws-b90h8gh6t","acushion","us-east-1","Enabled"
"ws-x6nq34g0f","ewright15","us-east-1","Enabled"
"ws-cvc7clmhm","jthompson7","us-east-1","Enabled"
"ws-h25wbvfd2","jpilkingto","us-east-1","Enabled"
"ws-09wm4rn3k","darmstron5","us-east-1","Enabled"
"ws-bz7966dsd","braines","us-east-1","Enabled"
"ws-d3rs2r7q8","econtrera3","us-east-1","Enabled"
"ws-280lp53rn","scostantini","us-east-1","Enabled"
"ws-34wnl0f4w","sdesantis","us-east-1","Enabled"
"ws-17mvxs9dy","Dantonino","us-east-1","Enabled"
"ws-2bmnjy733","amallahi","us-east-1","Enabled"
"ws-b0h5vvppq","lnguyen4","us-east-1","Enabled"
"ws-0ztntb0tj","lschiffman","us-east-1","Enabled"
"ws-0twbqbqst","rwojtak","us-east-1","Enabled"
"ws-9hc3j2mlr","awillia102","us-east-1","Enabled"
"ws-7q9vpmgdk","swelsh4","us-east-1","Enabled"
"ws-3gkbzxqw0","ostetson","us-east-1","Enabled"
"ws-wwsyd45fv","ereed2","us-east-1","Enabled"
"ws-czmhgyw6x","smyers13","us-east-1","Enabled"
"ws-4zz7h25q5","vstevens2","us-east-1","Enabled"
"ws-7tdfz1vkb","epacheco5","us-east-1","Enabled"
"ws-5z6k17y9g","glopez9","us-east-1","Enabled"
"ws-5s58lyfvv","egonzale21","us-east-1","Enabled"
"ws-75rxj0qhj","apizarro1","us-east-1","Enabled"
"ws-hw1gphqr0","cfrench2","us-east-1","Enabled"
"ws-41qslqgxx","bfehr","us-east-1","Enabled"
"ws-c2xmbv0vc","cpacheco3","us-east-1","Enabled"
"ws-0xfjsg8jl","dlawrence4","us-east-1","Enabled"
"ws-743h3z8mw","emcfatridg","us-east-1","Enabled"
"ws-63rqq5ldh","cearly1","us-east-1","Enabled"
"ws-drjgct5ht","tgarca","us-east-1","Enabled"
"ws-cj4j9635w","ntweed","us-east-1","Enabled"
"ws-vz9w564vh","thodgson","us-east-1","Enabled"
"ws-5j01v8jgc","jhadley4","us-east-1","Enabled"
"ws-0nmnj32lb","alang2","us-east-1","Enabled"
"ws-3hrgx0qwp","mcavalier","us-east-1","Enabled"
"ws-vds6wg5dy","ssingarave","us-east-1","Enabled"
"ws-fc7zn3yhm","sfinnearty","us-east-1","Enabled"
"ws-g44zdgybn","msosa4","us-east-1","Enabled"
"ws-h08hckmqf","cpayne3","us-east-1","Enabled"
"ws-985kmn2d8","gwestberry","us-east-1","Enabled"
"ws-xkzpn2yw5","amastrogia","us-east-1","Enabled"
"ws-h7yl3g2gp","sjohnson29","us-east-1","Enabled"
"ws-gywkltlgs","tjeanpierr","us-east-1","Enabled"
"ws-hb1tlrvwb","usiyak","us-east-1","Enabled"
"ws-v2glc384w","kburant","us-east-1","Enabled"
"ws-gk5tql7jm","romwebu","us-east-1","Enabled"
"ws-2vcphlyjc","skyle","us-east-1","Enabled"
"ws-htvfzbl9d","mtaylor40","us-east-1","Enabled"
"ws-5mg35frx7","Mfinn","us-east-1","Enabled"
"ws-jw6gm6yt9","dyslava","us-east-1","Enabled"
"ws-60t5k0h0f","jrivera40","us-east-1","Enabled"
"ws-4kbzsfffx","nphilistin","us-east-1","Enabled"
"ws-3hswr7rfk","mhamrick","us-east-1","Enabled"
"ws-fpsdpckfc","cmartin5","us-east-1","Enabled"
"ws-k5w2vg02c","fvalle","us-east-1","Enabled"
"ws-5mcg9l9kw","bbarrineau","us-east-1","Enabled"
"ws-53vg0yvj1","jfutrell","us-east-1","Enabled"
"ws-b3vjnz4yd","bmartinez9","us-east-1","Enabled"
"ws-1kp8y8z51","kfrazer","us-east-1","Enabled"
"ws-2dds0z6z8","jthom","us-east-1","Enabled"
"ws-h21731cd1","nmiller11","us-east-1","Enabled"
"ws-6tyxgmbx8","crhoad","us-east-1","Enabled"
"ws-1nljh8x23","csanford1","us-east-1","Enabled"
"ws-6nhhz1dzf","amohanty","us-east-1","Enabled"
"ws-blxhlxlpj","jransone","us-east-1","Enabled"
"ws-49jl7cvj1","zcarlson","us-east-1","Enabled"
"ws-hgr28zjpt","cday3","us-east-1","Enabled"
"ws-f92nyc8b3","ldinson","us-east-1","Enabled"
"ws-hw2gynhpd","swittman","us-east-1","Enabled"
"ws-x35pzz1m1","sthompson3","us-east-1","Enabled"
"ws-4gp960gxk","kschutze","us-east-1","Enabled"
"ws-4bwgzdshp","aalvarad11","us-east-1","Enabled"
"ws-hzrs5p7b1","jbeaudoin","us-east-1","Enabled"
"ws-40fdvw9mn","meggert","us-east-1","Enabled"
"ws-jdrqksrk9","jtorres5","us-east-1","Enabled"
"ws-w3z8npnbv","mraymond","us-east-1","Enabled"
"ws-g3f6zdf2f","awadley","us-east-1","Enabled"
"ws-wjyvlz59h","mcontrerasvargas","us-east-1","Enabled"
"ws-29dhnfp35","ksmith22","us-east-1","Enabled"
"ws-7vkx1bpt9","amohammed1","us-east-1","Enabled"
"ws-0cdb5fdcj","aestrada6","us-east-1","Enabled"
"ws-dwbjybwqd","syenumula","us-east-1","Enabled"
"ws-6qsg6y994","mtorpey","us-east-1","Enabled"
"ws-971mnprhp","alofton1","us-east-1","Enabled"
"ws-7cdqf24zp","CTellez","us-east-1","Enabled"
"ws-kglx5v72y","acarpio3","us-east-1","Enabled"
"ws-vq45z1d19","treeves","us-east-1","Enabled"
"ws-5cgkgjz9r","amontoya2","us-east-1","Enabled"
"ws-htt3jbzcj","bfracchiol","us-east-1","Enabled"
"ws-hr3cfdqn9","kperdue2","us-east-1","Enabled"
"ws-7tyjgrk0w","anorrell","us-east-1","Enabled"
"ws-hmhyllry4","ttrustmanb","us-east-1","Enabled"
"ws-vb6jb0r2b","arangel","us-east-1","Enabled"
"ws-6chqr7twz","bsotelo","us-east-1","Enabled"
"ws-gj555l402","bpatil","us-east-1","Enabled"
"ws-vr7xg1hyl","ddavis57","us-east-1","Enabled"
"ws-hn5fq9ynp","mcain2","us-east-1","Enabled"
"ws-wz31w5yhr","csandoval1","us-east-1","Enabled"
"ws-4lpw77yy2","trogers14","us-east-1","Enabled"
"ws-h20c9pnkl","sparedes","us-east-1","Enabled"
"ws-9nhbtygy9","lmcclure1","us-east-1","Enabled"
"ws-c07837kl3","ejohnson28","us-east-1","Enabled"
"ws-1mwx79c5s","itaylor2","us-east-1","Enabled"
"ws-4y8bl7jzg","kcole2","us-east-1","Enabled"
"ws-d7zsjt7qq","bmcculloch","us-east-1","Enabled"
"ws-7cjn2n50j","cspicer","us-east-1","Enabled"
"ws-8s065jccz","astewart16","us-east-1","Enabled"
"ws-7bbpc15fb","jblack12","us-east-1","Enabled"
"ws-554585kdp","kcrevatas","us-east-1","Enabled"
"ws-jb25mjhg6","dgiugliano","us-east-1","Enabled"
"ws-66kwvf8y1","twright31","us-east-1","Enabled"
"ws-wz5fk3z19","jkramarczy","us-east-1","Enabled"
"ws-d3917bzlw","dmontano","us-east-1","Enabled"
"ws-gbvtr6mrh","FGoddard","us-east-1","Enabled"
"ws-52wz81w7r","mmoccetti","us-east-1","Enabled"
"ws-bhdc4xxg2","hpeugnet","us-east-1","Enabled"
"ws-xjh92pbdp","zsolis","us-east-1","Enabled"
"ws-8nnsqsvwg","kvazquez","us-east-1","Enabled"
"ws-6mv7q19d2","bsamayoa","us-east-1","Enabled"
"ws-c960h76pp","blakarosky","us-east-1","Enabled"
"ws-6g2nvmt2q","lalvarado6","us-east-1","Enabled"
"ws-wk9zcxjhc","cadams23","us-east-1","Enabled"
"ws-3v0xxf1bk","mvanausdal","us-east-1","Enabled"
"ws-7kv0fmgpd","hholmes2","us-east-1","Enabled"
"ws-hm4s0nw23","cdetert","us-east-1","Enabled"
"ws-xn58kc0b2","smarshall2","us-east-1","Enabled"
"ws-kwr0yrdrf","jbean","us-east-1","Enabled"
"ws-jbry62x3h","dwilborn","us-east-1","Enabled"
"ws-wz5sghhw2","bkatona","us-east-1","Enabled"
"ws-ch49ls28g","nmilanoski","us-east-1","Enabled"
"ws-0rf8vkgpn","AHartney","us-east-1","Enabled"
"ws-1qn1p9whz","htaylor1","us-east-1","Enabled"
"ws-ws56zj496","ndixon2","us-east-1","Enabled"
"ws-4r51ngh2p","breid2","us-east-1","Enabled"
"ws-kw4tvb77j","jplumlee","us-east-1","Enabled"
"ws-wlgf232yv","aheld","us-east-1","Enabled"
"ws-7gx8s3r49","dcampos1","us-east-1","Enabled"
"ws-2q853hkqd","rcontrera3","us-east-1","Enabled"
"ws-6j62lkmsy","sdickerso4","us-east-1","Enabled"
"ws-x1hg0sbxy","esmart","us-east-1","Enabled"
"ws-9gmb5c63w","jeck","us-east-1","Enabled"
"ws-6sygyhg56","bcobanov","us-east-1","Enabled"
"ws-0g8244zfr","acurryfelix","us-east-1","Enabled"
"ws-vsdtf5jr1","sadley","us-east-1","Enabled"
"ws-jp8rqc9l6","czak","us-east-1","Enabled"
"ws-cr2jkzrbj","sallen34","us-east-1","Enabled"
"ws-30dwh49dp","mrentz","us-east-1","Enabled"
"ws-1t8kmwljm","thilaire","us-east-1","Enabled"
"ws-1w29snsrm","rdiaz1","us-east-1","Enabled"
"ws-0gd4db3z0","nmason4","us-east-1","Enabled"
"ws-11yt24jmq","amaxwell6","us-east-1","Enabled"
"ws-26b1r8m9x","klarosiliere","us-east-1","Enabled"
"ws-fnzwls83t","mdiaz16","us-east-1","Enabled"
"ws-452dfl4d7","jwaybill","us-east-1","Enabled"
"ws-09kqrtqf6","jdevaraj","us-east-1","Enabled"
"ws-2rzkh2s8g","smuhammad5","us-east-1","Enabled"
"ws-2p5qh5tnz","mesquivel","us-east-1","Enabled"
"ws-gsjrmyr06","hlayton","us-east-1","Enabled"
"ws-h2nw800dy","ccox9","us-east-1","Enabled"
"ws-fx9rnm24p","edeleoz","us-east-1","Enabled"
"ws-xxm1lcmm9","tlee6","us-east-1","Enabled"
"ws-vl4v9dl23","mmims2","us-east-1","Enabled"
"ws-9zv7spkc5","kwilliam63","us-east-1","Enabled"
"ws-4pwmkf0vz","sgonzale24","us-east-1","Enabled"
"ws-vq88gz8jv","aessue","us-east-1","Enabled"
"ws-2w652fjlx","adesai","us-east-1","Enabled"
"ws-gf6362fkg","aaiken","us-east-1","Enabled"
"ws-gx5rbg8xq","jreed19","us-east-1","Enabled"
"ws-5lfwkhzsc","mshumate","us-east-1","Enabled"
"ws-wg30wgmmw","achamberl1","us-east-1","Enabled"
"ws-5g8p13110","zgreen","us-east-1","Enabled"
"ws-w4b4y8d18","bloftis","us-east-1","Enabled"
"ws-jwrrsy5gh","vtorres4","us-east-1","Enabled"
"ws-b6yn537rt","amoore49","us-east-1","Enabled"
"ws-c0pz7qhky","mguerrero7","us-east-1","Enabled"
"ws-7kwlq3v0d","jsanmiguel","us-east-1","Enabled"
"ws-16yymnbm1","mhenry10","us-east-1","Enabled"
"ws-7qt2jmz8b","lfava","us-east-1","Enabled"
"ws-d7hn2kdgq","beatonbai","us-east-1","Enabled"
"ws-513sm5w6y","bhana","us-east-1","Enabled"
"ws-hvym641yn","mbrown1","us-east-1","Enabled"
"ws-7nwt2drj8","bsweeney2","us-east-1","Enabled"
"ws-2x1vx035d","skreppel","us-east-1","Enabled"
"ws-fm5dn8vv3","alee26","us-east-1","Enabled"
"ws-xf9pzymyg","lchristian","us-east-1","Enabled"
"ws-05kncd7sz","jfranklin9","us-east-1","Enabled"
"ws-ww1625zx9","ssobel","us-east-1","Enabled"
"ws-400m3j7hy","abansal1","us-east-1","Enabled"
"ws-jz63y86tz","bcolameco","us-east-1","Enabled"
"ws-1y4yft9b3","amulla","us-east-1","Enabled"
"ws-bbptm34b9","aratterman","us-east-1","Enabled"
"ws-xw0k171gc","jguillaum1","us-east-1","Enabled"
"ws-7cqn50xlq","kallen23","us-east-1","Enabled"
"ws-57ryt1x9s","chorne1","us-east-1","Enabled"
"ws-wdltw611c","dhagerman","us-east-1","Enabled"
"ws-40k9gmfk8","ktrim","us-east-1","Enabled"
"ws-8vzlsdkjf","jder","us-east-1","Enabled"
"ws-9mztjpm82","dward7","us-east-1","Enabled"
"ws-x607n8hln","galvarez2","us-east-1","Enabled"
"ws-bwj8y09jr","jivaldi","us-east-1","Enabled"
"ws-vxw74z52p","Amelendez1","us-east-1","Enabled"
"ws-jtjmjsh9t","fdabbieri","us-east-1","Enabled"
"ws-wdvynzsvf","ckorleski","us-east-1","Enabled"
"ws-911r138tn","lmartine17","us-east-1","Enabled"
"ws-2y7v5kv8v","csmyers","us-east-1","Enabled"
"ws-28xt18qkv","rlavallee","us-east-1","Enabled"
"ws-0g98r5zgb","bbronson","us-east-1","Enabled"
"ws-k45704nwc","cmartin8","us-east-1","Enabled"
"ws-fwlzghqg2","odorvil","us-east-1","Enabled"
"ws-hxdz0zc54","aharriott","us-east-1","Enabled"
"ws-9m559p7l9","keline","us-east-1","Enabled"
"ws-0w4c9s6jm","Mwoods2","us-east-1","Enabled"
"ws-6ztlph9gp","cmartinez5","us-east-1","Enabled"
"ws-9qkzfxdp8","syarbrough","us-east-1","Enabled"
"ws-cpz88y8c4","rlima2","us-east-1","Enabled"
"ws-8pfnqv10z","rgamboa","us-east-1","Enabled"
"ws-dt1j08fk4","jdelva","us-east-1","Enabled"
"ws-1q6lhhg99","blemus1","us-east-1","Enabled"
"ws-h8w7lns9v","fcharles","us-east-1","Enabled"
"ws-9xhg95yrl","kdean4","us-east-1","Enabled"
"ws-7smmr4jj4","ecausevic","us-east-1","Enabled"
"ws-2d6gts32b","cgomez8","us-east-1","Enabled"
"ws-3mxwv9bv1","arams","us-east-1","Enabled"
"ws-x2frlkc5r","ipena1","us-east-1","Enabled"
"ws-gldl0psmj","scolton","us-east-1","Enabled"
"ws-wcj14269q","rseiser","us-east-1","Enabled"
"ws-7s6stmp3k","amoseley1","us-east-1","Enabled"
"ws-ggbfr5hqv","nlewis14","us-east-1","Enabled"
"ws-w5kr2cjpr","tscott28","us-east-1","Enabled"
"ws-6drx5c58x","mcurry9","us-east-1","Enabled"
"ws-77gcpyjqs","nliber","us-east-1","Enabled"
"ws-5gqmhph99","cpalmer10","us-east-1","Enabled"
"ws-ct95hy7m8","ltyger","us-east-1","Enabled"
"ws-3gz36fqsh","ssandberg","us-east-1","Enabled"
"ws-c1kxz2g3j","edistler","us-east-1","Enabled"
"ws-7y93kfp4n","kparashar","us-east-1","Enabled"
"ws-880ng6dnt","boblea","us-east-1","Enabled"
"ws-23bz0z6wx","bjones38","us-east-1","Enabled"
"ws-2gl6sn6m2","mgonzale32","us-east-1","Enabled"
"ws-14hvlb4db","aware6","us-east-1","Enabled"
"ws-74vf8rhym","ksmith56","us-east-1","Enabled"
"ws-bffr3tfgs","tparrott","us-east-1","Enabled"
"ws-573ng819y","jfields11","us-east-1","Enabled"
"ws-7225yjbyg","rreynarosa","us-east-1","Enabled"
"ws-84gz3zn2m","jjeanpierre","us-east-1","Enabled"
"ws-cx9zhz4mj","margudin","us-east-1","Enabled"
"ws-hz5nbyj2m","barneault","us-east-1","Enabled"
"ws-w6gs28r0s","azamora","us-east-1","Enabled"
"ws-5996dx4ky","sbrown65","us-east-1","Enabled"
"ws-hpsd9swhv","jfryer","us-east-1","Enabled"
"ws-fs8tr38vf","tbhaskar","us-east-1","Enabled"
"ws-hjy36dsyb","jcavanaugh","us-east-1","Enabled"
"ws-9kj4fqdgy","svenkatasw","us-east-1","Enabled"
"ws-4lqbb8f7j","jperissino","us-east-1","Enabled"
"ws-8191r60xk","kwarren1","us-east-1","Enabled"
"ws-1wrthgfcj","crubits","us-east-1","Enabled"
